chain,triple,err_lucj,S0
newchain03,"(0, 8, 9)",529.9673657341967,12.151581760149767
newchain03,"(1, 2, 3)",528.5242744583325,4.687150958038624
newchain03,"(1, 2, 4)",523.010714890181,4.409806189914862
newchain03,"(1, 2, 5)",526.3771128146883,4.409806189914862
newchain03,"(1, 2, 6)",518.901856966612,4.687150958038625
newchain03,"(1, 2, 7)",519.1282788384921,5.0617315866224395
newchain03,"(1, 2, 8)",575.6533106635598,7.724618652937137
newchain03,"(1, 2, 9)",512.4322049036723,8.606656673386103
newchain03,"(1, 3, 4)",532.5999880240681,4.035225561331047
newchain03,"(1, 3, 5)",534.8161413492934,4.035225561331047
newchain03,"(1, 3, 6)",526.775544501068,4.31257032945481
newchain03,"(1, 3, 7)",524.8244197483123,4.687150958038625
newchain03,"(1, 3, 8)",586.2616719094617,7.3500380243533225
newchain03,"(1, 3, 9)",519.4746946679096,8.23207604480229
newchain03,"(1, 4, 5)",531.0311236439995,3.7578807932072844
newchain03,"(1, 4, 6)",521.1223313050804,4.035225561331047
newchain03,"(1, 4, 7)",519.155342147684,4.409806189914862
newchain03,"(1, 4, 8)",581.6270237548755,7.0726932562295595
newchain03,"(1, 4, 9)",514.7898309643084,7.954731276678526
newchain03,"(1, 5, 6)",523.6073923526039,4.035225561331048
newchain03,"(1, 5, 7)",520.3702098366376,4.409806189914862
newchain03,"(1, 5, 8)",582.5252262720122,7.0726932562295595
newchain03,"(1, 5, 9)",516.4829785220064,7.954731276678526
newchain03,"(1, 6, 7)",512.7588695714716,4.687150958038625
newchain03,"(1, 6, 8)",577.9727061028002,7.3500380243533225
newchain03,"(1, 6, 9)",505.7217711754074,8.23207604480229
newchain03,"(1, 7, 8)",580.2757255122017,7.724618652937137
newchain03,"(1, 7, 9)",505.9675616371608,8.606656673386103
newchain03,"(1, 8, 9)",534.2502506565854,11.2695437397008
newchain03,"(2, 3, 4)",501.87457030685675,1.3723384950163493
newchain03,"(2, 3, 5)",503.81199806873855,1.3723384950163493
newchain03,"(2, 3, 6)",495.6733996404408,1.6496832631401122
newchain03,"(2, 3, 7)",498.80600014255185,2.024263891723927
newchain03,"(2, 3, 8)",534.2906094820617,4.687150958038624
newchain03,"(2, 3, 9)",512.4864589582776,5.569188978487591
newchain03,"(2, 4, 5)",502.81811377875397,1.0949937268925867
newchain03,"(2, 4, 6)",492.84667815971875,1.3723384950163493
newchain03,"(2, 4, 7)",495.80532384229593,1.746919123600164
newchain03,"(2, 4, 8)",531.7886164321699,4.409806189914862
