system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,S0,S1,S2,S3,S4
H10,identity,"(1, 3, 8)",identity_1-3-8,583.8429223898673,1.0000000000004077,252,252,3232,OK,296.5457231982533,0.5775381093186457,0.2274019407239145,0.3930745534684346,0.0617293279793944,1.9622216477077632,0.937059753968254,0.8428505,0.9928677353294258,7.3500380243533225,45.95522396923921,7.1502218519196825,405.311141513919,328.5900466347174
H10,identity,"(1, 4, 6)",identity_1-4-6,560.9308518479885,1.0000000000004114,252,252,3232,OK,365.4504865056092,0.5174272757180144,0.2124524791850485,0.3930745534684346,0.0318304049016624,1.493952341112203,0.9600998412698412,0.918126,0.8001125334083556,4.035225561331047,23.89395857028435,3.767682520570648,211.67494596871936,90.02485005249959
H10,identity,"(1, 4, 7)",identity_1-4-7,546.812813851047,1.000000000000414,252,252,3232,OK,294.5243494375287,0.5732385911630595,0.2134019082399863,0.3930745534684346,0.0337292630115381,1.5165617112214542,0.9586561904761904,0.912789,0.9932061289389996,4.409806189914862,25.57981089956679,4.192032648519988,227.09774635930023,107.23140243395143
H10,identity,"(1, 4, 5)",identity_1-4-5,565.0408631486865,1.0000000000004048,252,252,3232,OK,365.3773667024529,0.5188705860538558,0.2120553354438532,0.3930745534684346,0.0310361174192717,1.4787558808063586,0.9607758095238096,0.920014,0.9861505681818182,3.7578807932072844,22.653343320558697,3.4208788207420446,200.63159087960224,77.49434238429751
H10,identity,"(1, 3, 9)",identity_1-3-9,488.2740544528162,1.0000000000004063,252,252,3232,OK,295.92940093880316,0.5734402956236083,0.2445971400200526,0.3930745534684346,0.0961197265716706,1.88792749523469,0.9408389563492064,0.8554655,0.947389885807504,8.23207604480229,51.84613669806938,8.052517081429288,454.9213973009697,417.49190136732153
H10,identity,"(1, 4, 8)",identity_1-4-8,584.1618795127914,1.0000000000004063,252,252,3232,OK,296.56640998204864,0.5760241298828297,0.2270047969827191,0.3930745534684346,0.0609350404970037,1.9454119380572223,0.9380200277777778,0.845717,0.9770931496919174,7.0726932562295595,44.714608719513556,6.8905811194416655,394.1835723171698,308.1096386059018
H10,identity,"(1, 4, 9)",identity_1-4-9,488.8009651316905,1.0000000000003983,252,252,3232,OK,295.92940093880316,0.5734402956236082,0.2441999962788572,0.3930745534684346,0.0953254390892799,1.8679171556767409,0.9421692976190476,0.8591405,0.9504797528053344,7.954731276678526,50.60552144834372,7.7981716528705745,443.7938281042206,394.6305428372079
H10,identity,"(1, 5, 6)",identity_1-5-6,561.1955870000518,1.0000000000003986,252,252,3232,OK,365.4504865056092,0.5174272757180144,0.2124524791850485,0.3930745534684346,0.0318304049016624,1.4982572261110718,0.9598548888888888,0.9172675,0.8476916438947217,4.035225561331048,23.89395857028435,3.7429745484492782,211.6711323800714,89.43447879027583
H10,identity,"(1, 5, 7)",identity_1-5-7,546.0847367918423,1.0000000000004037,252,252,3232,OK,365.4335079906108,0.5175877685217027,0.2134019082399863,0.3930745534684346,0.0337292630115381,1.5135642917765804,0.9589188174603176,0.913436,0.9537540047360356,4.409806189914862,25.57981089956679,4.18171880481863,227.0939327706523,106.967576262423
H10,identity,"(1, 5, 8)",identity_1-5-8,584.1618795127523,1.000000000000403,252,252,3232,OK,296.56640998204773,0.5760241298828006,0.2270047969827191,0.3930745534684346,0.0609350404970037,1.945657230707499,0.9380254682539684,0.845624,0.9833502980950996,7.0726932562295595,44.714608719513556,6.8905811194416655,394.1797587285219,308.1096386059018
