system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,role,triple_parsed,S0,is_floor,is_default
H10,newchain02,"(0, 7, 8)",newchain02_0-7-8,507.0520690057938,1.0000000000004055,252,252,3282,OK,223.28503966233714,0.6474146365682987,0.22383258208717555,0.34964657949280487,0.09801858468154624,1.4767567237647408,0.957565503968254,0.8954015,0.9895256232686981,,"(0, 7, 8)",8.606656673386103,False,False
H10,newchain02,"(1, 3, 4)",newchain02_1-3-4,629.6699202909934,1.0000000000003952,252,252,3332,OK,368.6820949393441,0.4520619673113701,0.19073849219723366,0.34964657949280487,0.03183040490166244,1.308553739610151,0.9657419007936507,0.924593,0.8623762376237624,,"(1, 3, 4)",4.035225561331047,False,False
H10,newchain02,"(3, 4, 7)",newchain02_3-4-7,532.7816479843648,1.0000000000004021,250,250,3332,OK,369.8791349620585,0.48333867611224707,0.17713560345450086,0.34964657949280487,0.004624627416196836,0.7589063368810964,0.979953724,0.958546,0.7931599906301241,,"(3, 4, 7)",1.3723384950163489,False,False
H10,newchain02,"(0, 6, 8)",newchain02_0-6-8,528.0214599537345,1.0000000000004046,252,252,3282,OK,223.28503966233714,0.6474146365682989,0.2228831530322377,0.34964657949280487,0.09611972657167055,1.478650016340522,0.9584069563492064,0.901173,0.9623529411764706,,"(0, 6, 8)",8.23207604480229,False,False
H10,newchain02,"(3, 5, 7)",newchain02_3-5-7,537.2016304189353,1.0000000000004101,250,248,3332,OK,369.8791349620585,0.483338676112247,0.17713560345450086,0.34964657949280487,0.004624627416196836,0.7779544069916048,0.97942436,0.956887,0.9333174565372708,,"(3, 5, 7)",1.372338495016349,False,False
H10,newchain02,"(4, 6, 7)",newchain02_4-6-7,543.3607828254007,1.0000000000004003,249,252,3282,OK,372.31776279914453,0.4713301046653705,0.17713560345450086,0.34964657949280487,0.004624627416196836,0.807606575381167,0.9787256867469879,0.9555735,0.9941043083900227,,"(4, 6, 7)",1.372338495016349,False,False
H10,newchain02,"(1, 8, 9)",newchain02_1-8-9,547.9977428336449,1.0000000000004021,252,252,3282,OK,189.7567004174796,0.6736850046099183,0.23743547082990837,0.34964657949280487,0.1252243621670119,1.7439888549117124,0.9457114880952381,0.865872,0.9558842610613728,,"(1, 8, 9)",11.2695437397008,False,False
H10,newchain02,"(0, 2, 9)",newchain02_0-2-9,600.5351724647801,1.000000000000406,252,252,3282,OK,218.83646420245117,0.6567757019474578,0.24102778138331363,0.34964657949280487,0.13240898327382242,2.412788013635489,0.921148753968254,0.81277,0.9858652059082461,,"(0, 2, 9)",9.488694693835068,False,False
H10,newchain02,"(0, 1, 9)",newchain02_0-1-9,612.0127917742906,1.0000000000004028,252,252,3282,OK,219.11468567113258,0.6556807640010411,0.25463067012604645,0.34964657949280487,0.15961476075928802,2.5008933447452066,0.9165226230158731,0.8057935,0.9700330803658299,,"(0, 1, 9)",12.151581760149767,False,False
H10,newchain02,(),newchain02_floor,583.6643957985679,1.0000000000004101,239,237,3282,OK,369.1988378122062,0.4832260682011746,0.17482328974640243,0.34964657949280487,0.0,0.7855227247520716,0.9800018912133891,0.960854,0.9475184041795298,,(),,True,False
