group,system,chain,score,k,top1,recall,regret,regret_p90,regret_worst,beats_default_top5
heldout,H10,newchain08,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain08,__random__,1,0.024,0.024,0.5223235338891479,2.6954081884635737,2.7515095167673267,
heldout,H10,newchain08,__random__,3,0.029,0.0785,0.1338623996086434,0.8785732645146422,2.739176115249445,
heldout,H10,newchain08,__random__,5,0.0215,0.1105,0.11319344582734422,0.4516871255508819,0.9738198461456232,
heldout,H10,newchain08,__random__,10,0.02,0.207,0.08382714784966648,0.12920770895187675,0.47723059846943516,
heldout,H10,newchain09,S0,1,True,True,0.0,0.0,0.0,
heldout,H10,newchain09,S0,3,True,True,0.0,0.0,0.0,
heldout,H10,newchain09,S0,5,True,True,0.0,0.0,0.0,True
heldout,H10,newchain09,S0,10,True,True,0.0,0.0,0.0,
heldout,H10,newchain09,S_int,1,False,False,0.7034396147648146,0.7034396147648146,0.7034396147648146,
heldout,H10,newchain09,S_int,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain09,S_int,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain09,S_int,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain09,S0_plus_Sint,1,False,False,0.7034396147648146,0.7034396147648146,0.7034396147648146,
heldout,H10,newchain09,S0_plus_Sint,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain09,S0_plus_Sint,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain09,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain09,__random__,1,0.0215,0.0215,1.2347265926706,1.3125351615806704,1.3316070522490195,
heldout,H10,newchain09,__random__,3,0.024,0.0735,0.6478650933676458,1.2347265926706,1.3125351615806704,
heldout,H10,newchain09,__random__,5,0.0255,0.1195,0.2476536303054679,0.8100902433221606,1.3125351615806704,
heldout,H10,newchain09,__random__,10,0.0225,0.2475,0.14837709805544994,0.6355362962324981,1.2325911317243086,
heldout,H10,newchain10,S0,1,False,False,0.23524901290156583,0.23524901290156583,0.23524901290156583,
heldout,H10,newchain10,S0,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain10,S0,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain10,S0,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain10,S_int,1,True,True,0.0,0.0,0.0,
heldout,H10,newchain10,S_int,3,True,True,0.0,0.0,0.0,
heldout,H10,newchain10,S_int,5,True,True,0.0,0.0,0.0,True
heldout,H10,newchain10,S_int,10,True,True,0.0,0.0,0.0,
heldout,H10,newchain10,S0_plus_Sint,1,False,False,0.23524901290156583,0.23524901290156583,0.23524901290156583,
heldout,H10,newchain10,S0_plus_Sint,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain10,S0_plus_Sint,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain10,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain10,__random__,1,0.0155,0.0155,1.0697239043915898,1.679651872154636,1.6796793633063074,
heldout,H10,newchain10,__random__,3,0.021,0.069,0.40422509448104177,1.0697239043915898,1.679651872154636,
heldout,H10,newchain10,__random__,5,0.02,0.116,0.23524901290156583,0.5911502814436016,1.6768276248010896,
heldout,H10,newchain10,__random__,10,0.0265,0.2315,0.12086696372986117,0.40422509448104177,1.067469704471864,
heldout,H10,newchain11,S0,1,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,
