triple,captured,err_sqd,err_lucj,S0,S_int,S0_plus_Sint,system,chain
"(5, 6, 8)",0.6067004880571014,251.1205221539532,586.7050880757167,4.035225561331047,14.232444019796574,0.6355657084851356,H10,physical
"(0, 5, 6)",0.6615930986901126,218.63787417716551,581.3216555606004,4.917263581780014,0.9666156316978631,-1.1504621957136456,H10,physical
"(0, 4, 8)",0.6532612127357948,214.50849171642173,584.3114706836543,7.954731276678526,14.602470062544512,2.2568217168409057,H10,physical
"(2, 3, 9)",0.5924755498458512,268.6432425764611,536.1828114809128,5.569188978487591,5.251896983643217,-0.2002521715160576,H10,physical
"(1, 2, 7)",0.6726222492452094,189.39782400814752,569.2755825430825,5.0617315866224395,15.10778411145211,1.1855921735973034,H10,physical
"(4, 5, 6)",0.4788693343078371,373.109132816376,557.8550583595004,0.7204130983087718,0.9666156316978629,-2.822599343576815,H10,physical
"(0, 4, 9)",0.6003501654672635,266.64047918834746,616.7529241134977,8.836769297127493,2.3571826804337848,0.6352283878669401,H10,physical
"(0, 2, 3)",0.6615930986901126,218.63787417716551,560.4989837213,5.56918897848759,4.231355977655231,-0.364686746740874,H10,physical
"(0, 2, 4)",0.6615930986901126,218.63787417716551,570.5565317509222,5.291844210363828,3.252934503113501,-0.6328363677864803,H10,physical
"(2, 6, 7)",0.63653624917405,218.56940597565887,540.5871002427523,2.024263891723927,3.1818780269566225,-1.9461764697629205,H10,physical
"(4, 6, 9)",0.6570911626581302,219.74517877720336,557.0298184490117,4.917263581780013,2.092289536579897,-0.9690880918757094,H10,physical
"(0, 1, 3)",0.6994102249597494,181.4337155473007,573.8335472198175,8.23207604480229,13.976076089629133,2.266395597305306,H10,physical
"(1, 7, 9)",0.63192635520319,229.400497251123,550.3153263048679,8.606656673386103,14.212032288772397,2.453656929250724,H10,physical
"(2, 3, 7)",0.6890443543524386,175.17356732665235,533.7249878811612,2.024263891723927,4.42519264535224,-1.7458475168378342,H10,physical
"(0, 1, 5)",0.6994102249597492,181.4337155473007,579.6544079375669,7.954731276678526,12.892521716193354,1.9813064476465787,H10,physical
"(3, 5, 9)",0.6028366049528782,256.18934824031305,548.0263981572922,4.917263581780013,3.230471256081466,-0.7856986675637436,H10,physical
"(2, 4, 6)",0.4511884049703825,372.8896294803494,571.8489957778932,1.3723384950163493,2.113335816605353,-2.901804771161905,H10,rand007
"(1, 6, 8)",0.6293327259725365,221.6377001311667,640.7952061771507,7.3500380243533225,26.02797637127412,1.484736319820654,H10,rand007
