dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin,err_lucj,full_capture
15,15,225,35,38,2696,14814,OK,27.934429967942265,0.9784605395115765,identity,"(1, 5, 7)",0.2594739605933152,0.46557389435310936,0.053374026833521,222.34307368525208,1.0000000000001275
15,15,225,36,33,2696,14814,OK,51.781914492949,0.9562949301626548,identity,"(1, 5, 8)",0.284203890483701,0.46557389435310936,0.10283388661429267,205.66206399405473,1.0000000000001321
15,15,225,45,42,2696,14814,OK,31.870454303643214,0.9788639618129475,identity,"(1, 5, 9)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.76319712480972,1.000000000000132
15,15,225,35,38,2696,14814,OK,27.934429967942265,0.9784605395115765,identity,"(1, 6, 7)",0.2594739605933152,0.46557389435310936,0.053374026833521,222.34307368525208,1.0000000000001275
15,15,225,36,33,2672,14814,OK,51.781914492949,0.9562949301626548,identity,"(1, 6, 8)",0.284203890483701,0.46557389435310936,0.10283388661429267,205.66206399405473,1.0000000000001321
15,15,225,45,42,2672,14814,OK,31.870454303643214,0.9788639618129475,identity,"(1, 6, 9)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.76319712480972,1.000000000000132
15,15,225,37,40,2696,14814,OK,29.53252499214898,0.9779408261104371,identity,"(1, 7, 8)",0.28518243224688833,0.46557389435310936,0.10479097014066731,202.06666723062483,1.0000000000001328
15,15,225,40,45,2696,14814,OK,31.220052190747083,0.9781007032403896,identity,"(1, 7, 9)",0.2883321499011539,0.46557389435310936,0.11109040544919843,196.84342888216122,1.0000000000001306
15,15,225,49,46,2672,14814,OK,31.870454303643214,0.9788639618129477,identity,"(1, 8, 9)",0.31306207979153977,0.46557389435310936,0.16055026522997012,181.75380398555774,1.0000000000001297
15,15,225,26,26,2686,14812,OK,106.66698534174657,0.8020183055023274,identity,"(2, 3, 4)",0.233765488939742,0.46557389435310936,0.0019570835263746453,247.85509242479975,1.0000000000001315
15,15,225,26,26,2696,14814,OK,106.66698534174657,0.8020183055023274,identity,"(2, 3, 5)",0.233765488939742,0.46557389435310936,0.0019570835263746453,247.85509242479975,1.0000000000001315
15,15,225,26,26,2686,14814,OK,106.66698534174657,0.8020183055023274,identity,"(2, 3, 6)",0.233765488939742,0.46557389435310936,0.0019570835263746453,247.85509242479975,1.0000000000001315
15,15,225,26,23,2696,14814,OK,104.01992929894277,0.8030626249760254,identity,"(2, 3, 7)",0.23474403070292932,0.46557389435310936,0.003914167052749291,244.24523114676333,1.0000000000001323
15,15,225,36,36,2686,14814,OK,29.068263305447317,0.9781335524780966,identity,"(2, 3, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,224.9537484457278,1.0000000000001275
15,15,225,38,36,2686,14814,OK,33.0299463829391,0.9558504132451004,identity,"(2, 3, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,221.09361992492893,1.0000000000001286
15,15,225,26,26,2696,14812,OK,106.66698534174657,0.8020183055023274,identity,"(2, 4, 5)",0.233765488939742,0.46557389435310936,0.0019570835263746453,247.85509242479975,1.0000000000001315
15,15,225,26,26,2654,14812,OK,106.66698534174657,0.8020183055023274,identity,"(2, 4, 6)",0.233765488939742,0.46557389435310936,0.0019570835263746453,247.85509242479975,1.0000000000001315
15,15,225,26,23,2696,14812,OK,104.01992929894277,0.8030626249760254,identity,"(2, 4, 7)",0.23474403070292932,0.46557389435310936,0.003914167052749291,244.24523114676333,1.0000000000001323
15,15,225,36,36,2654,14812,OK,29.068263305447317,0.9781335524780966,identity,"(2, 4, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,224.9537484457278,1.0000000000001275
15,15,225,38,36,2654,14812,OK,33.0299463829391,0.9558504132451004,identity,"(2, 4, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,221.09361992492893,1.0000000000001286
