ordering,cap_exact,cap_cisd,cap_cisd_alpha,cap_cisd_beta,err_sub_mHa,cap_cisd_product
q103,0.9791745797289843,0.9886068910698753,0.9915776863130237,0.99221231615541,29.02735871640516,0.9838555927846677
q104,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.6851747459981,0.9906556550670168
q105,0.9624272141242182,0.992755232051795,0.9960277058806071,0.9960277058806071,48.91338038549975,0.9920711908817851
q106,0.9624791800339555,0.9892339667897299,0.9923916258759686,0.9923154114788117,49.87564487029772,0.9847655045792388
q107,0.9707244832684051,0.9900115308073788,0.9946680737490412,0.9946680737490413,38.88629157530943,0.9893645769356282
q108,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q109,0.9562189853192863,0.9864508479691021,0.9915635132226575,0.9928431757973951,60.42767558589901,0.9844670674728057
q110,0.9583840419724701,0.9731434116442261,0.9820635703337116,0.9820635703337117,48.919134030199984,0.964448856176597
q111,0.9423161572805475,0.973484745322427,0.9817486443922256,0.9817486443922258,66.09804469900382,0.9638304007659728
q112,0.9619296522462625,0.9916784771966318,0.9949509510254438,0.9960277058806071,52.68558412630853,0.9909987132136011
q113,0.9603491643954617,0.9740116591632897,0.9832926172913667,0.9832926172913669,48.31329220949954,0.9668643712197064
q114,0.9569971583611989,0.9873162575411528,0.9928431757973951,0.9928431757973951,61.30317046979883,0.9857375717274572
q115,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q116,0.9697142145768346,0.9890566672703832,0.994033443906655,0.9940334439066552,38.867463342697306,0.9881024876049253
q117,0.9827815378193421,0.9927795574241451,0.9944693934215802,0.9944693934215802,23.454182181509964,0.9889693744522857
q118,0.965190511740394,0.9928506050395511,0.9949905100098696,0.9949905100098697,46.49230388619685,0.9900061150097005
q119,0.9733159348440776,0.9886750133619409,0.993667533291035,0.9936675332910351,36.47362491660999,0.9873751667166902
q120,0.948058068546773,0.9777839140650764,0.991464173058927,0.980186085229341,66.79999190960473,0.9718193864357755
q121,0.957526326423333,0.9899613700747838,0.9946307748921015,0.9946307748921015,53.542404517301634,0.9892903783624623
q122,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q123,0.9567225968446279,0.9888296407621896,0.9939199306525583,0.9939199306525583,56.167596635106065,0.9878768285483864
q124,0.9721732891534431,0.9875432840493465,0.9929566890514918,0.9929566890514919,39.2265145957964,0.9859629863321011
q125,0.956205887785217,0.9865011233197665,0.9911961075748522,0.9907780863099647,57.73780778460491,0.982055382620898
q126,0.957526326423333,0.9899613700747838,0.9946307748921015,0.9946307748921015,53.542404517301634,0.9892903783624623
q127,0.9577653929245016,0.9869830212573387,0.9900667655669645,0.9914641730589271,57.29896661230782,0.9816157269959771
q128,0.9794681294746747,0.9896760129498595,0.9943536200399974,0.9935681931273046,30.30007123150824,0.9879581295927345
q129,0.9586530631524183,0.9726669752533016,0.9811947797744169,0.981194779774417,48.11266219610389,0.9627431958565666
q130,0.9356875291349391,0.9701336885281729,0.9795875232145121,0.9795875232145123,77.44560758649754,0.9595917156375425
q131,0.9747241677302065,0.989985695447134,0.9930724624330747,0.9930724624330747,31.314477090106152,0.9861929156428905
q132,0.9585053557173925,0.9904027138479592,0.9952654047344877,0.9947442881461983,52.773917072798326,0.9900345765491458
q133,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q134,0.9624272141242182,0.992755232051795,0.9960277058806071,0.9960277058806071,48.91338038549975,0.9920711908817851
q135,0.9717192874785321,0.9866318172943553,0.9910754601120405,0.9910754601120405,36.43830029710671,0.9822305676362928
q136,0.9563698700652573,0.9883611737628155,0.9921966480328585,0.992958949178978,55.997877412409025,0.9852105410096114
q137,0.9663023032497686,0.9789254094365838,0.9825071903786738,0.9935681931273046,41.45596984110966,0.9761878938791236
q138,0.9748082590085205,0.9896876213235345,0.9924378325906884,0.9924378325906885,30.91832850270748,0.9849328515573034
q139,0.8702788143697224,0.911913824750068,0.9323123839188342,0.9323123839188343,77.70906226269858,0.8692063812084198
q140,0.9707244832684051,0.9900115308073788,0.9946680737490412,0.9946680737490413,38.88629157530943,0.9893645769356282
q141,0.9802275128103045,0.9902102904180734,0.9934919787301475,0.9934919787301476,30.986678435297677,0.987026311801144
q142,0.9663114204402893,0.9913240876389738,0.9927065518174546,0.9950667244070267,42.79706927199811,0.9878092568143889
q143,0.9583840419724701,0.9731434116442261,0.9820635703337116,0.9820635703337117,48.919134030199984,0.964448856176597
q144,0.9591219881107137,0.972623508885664,0.9811947797744169,0.9811513134067794,47.283737961109296,0.9627005468835449
q145,0.9582075886288894,0.9882849715111005,0.9915635132226575,0.9938205904888279,56.3031204470974,0.9854362362181182
q146,0.9451809490919709,0.9777603782566009,0.9823708577907125,0.9899372052201428,63.3114212873096,0.9724854614510523
q147,0.8532942645548103,0.911490213963776,0.9246761050983463,0.9246761050983464,99.16073416580672,0.8550258993398481
q148,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.6851747459981,0.9906556550670168
q149,0.7850820567757227,0.8616924253532284,0.8697486771792803,0.8697486771792804,155.489807576501,0.756462761455108
q150,0.9612372150586924,0.9916732139022457,0.9960277058806071,0.994531434728371,49.38281984220794,0.9905808633586481
q151,0.8029494754136165,0.8752063423739355,0.8828413798529258,0.8828413798529259,153.99807522069864,0.7794089019806181
q152,0.9619296522462625,0.9916784771966318,0.9949509510254438,0.9960277058806071,52.68558412630853,0.9909987132136011
q153,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q154,0.9580028208544182,0.9724498024881838,0.9816128010393046,0.981194779774417,49.648593970999855,0.9631533561395091
q155,0.9559544560451984,0.9860068876577218,0.9915635132226575,0.9907780863099647,58.41237986700776,0.9824194000855299
q156,0.9697142145768346,0.9890566672703832,0.994033443906655,0.9940334439066552,38.867463342697306,0.9881024876049253
q157,0.8804228224509919,0.9226169289920944,0.938362119594964,0.9383621195949641,80.0241614852979,0.8805234674907535
q158,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q159,0.9605201268515287,0.9909194578677194,0.9945314347283709,0.9936697934185211,49.69743575129826,0.9882358452947657
q160,0.9594648860760212,0.99005674306254,0.993593579021364,0.9935935790213641,52.33989835720365,0.9872282002724837
q161,0.8726649571607655,0.926667245382402,0.9399383603040283,0.9401549688815269,94.6387616407094,0.8836877198821872
q162,0.9707244832684051,0.9900115308073788,0.9946680737490412,0.9946680737490413,38.88629157530943,0.9893645769356282
q163,0.9604584892513851,0.9905420487772708,0.9938205904888278,0.9938205904888279,51.66783395719676,0.9876793660795624
q164,0.8720581754434109,0.9257521246473063,0.9394441246419839,0.9394441246419839,95.58064853150938,0.8825552633243434
q165,0.8540286028861793,0.9120330816045972,0.9323720128745981,0.9323720128745983,97.4818211848998,0.8693175703918299
q166,0.9604395448282151,0.9905923241279352,0.9930351635761349,0.993035163576135,49.27020591030384,0.986118836098681
q167,0.961266844059101,0.9916737780898651,0.9945314347283709,0.994531434728371,49.15162319490207,0.989092774662872
q168,0.9767940519129699,0.9918505292473944,0.9954303748951606,0.9954303748951607,30.88200145670328,0.9908816312639201
q169,0.9601763086190439,0.9898938119703379,0.9925409279140902,0.9925409279140903,50.166975939504255,0.9851374935845634
q170,0.9723678655566432,0.9874740104250018,0.9902242216921557,0.9924378325906885,35.41680728920937,0.9827359803549645
q171,0.9767940519129699,0.9918505292473944,0.9954303748951606,0.9954303748951607,30.88200145670328,0.9908816312639201
q172,0.9633702208961923,0.990543336673161,0.9944567153633992,0.9944567153633992,52.49606754280478,0.9889441587313608
q173,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q174,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q175,0.8540286028861798,0.9120330816045973,0.9323720128745983,0.9323720128745984,97.4818211848998,0.8693175703918301
q176,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q177,0.9681715518728514,0.9880100574839945,0.9925702362320914,0.9925702362320915,38.54492462019721,0.9851956738538298
q178,0.9560630020976169,0.9879114112174013,0.9922728624300154,0.9917517458417261,53.14181707720422,0.9840883436663347
q179,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q180,0.9729042730780725,0.9907814287779674,0.9954303748951606,0.9946680737490413,36.000660116997096,0.9901228135482555
q181,0.9646915035425565,0.9848345415985411,0.9908073946279657,0.9908073946279659,44.69088632720286,0.9816992932494576
q182,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q183,0.9713301463808203,0.9865121054380809,0.9906749909865628,0.9906749909865629,36.412638830796595,0.9814369377662263
q184,0.9423161572805475,0.973484745322427,0.9817486443922256,0.9817486443922258,66.09804469900382,0.9638304007659728
q185,0.9656721784433754,0.992687673947349,0.9939378589025958,0.9939378589025959,44.20044876960105,0.9879124673598765
q186,0.9793089401156978,0.9896040415386915,0.9927065518174546,0.9927065518174546,28.61601392760349,0.9854662980213007
q187,0.9644677833435589,0.9910680903317282,0.9923916258759686,0.9941544674800944,46.2951006012986,0.9865905683544287
q188,0.9604395448282151,0.9905923241279351,0.9930351635761349,0.993035163576135,49.27020591030384,0.986118836098681
q189,0.9656721784433754,0.992687673947349,0.9939378589025958,0.9939378589025959,44.20044876960105,0.9879124673598765
q190,0.9633702208961923,0.990543336673161,0.9944567153633992,0.9944567153633992,52.49606754280478,0.9889441587313608
q191,0.9433813696817268,0.9768025617287854,0.9790827911282816,0.9776853836363192,52.2205178403965,0.9572349342559722
q192,0.9734865708406755,0.9867767429263729,0.9905987765894058,0.9913610777355253,36.14462482350689,0.9820410707631662
q193,0.9713301463808203,0.9865121054380809,0.9906749909865628,0.9906749909865629,36.412638830796595,0.9814369377662263
q194,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q195,0.9624272141242182,0.9927552320517951,0.9960277058806071,0.9960277058806071,48.913380385400274,0.9920711908817851
q196,0.9713301463808203,0.9865121054380809,0.9906749909865628,0.9906749909865629,36.412638830796595,0.9814369377662263
q197,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q198,0.9632410554237752,0.9899453752168924,0.9923916258759686,0.9923916258759687,47.6990991805053,0.9848411391087486
q199,0.9656721784433754,0.992687673947349,0.9939378589025958,0.9939378589025959,44.20044876960105,0.9879124673598765
