ordering,kind,perm,seed,dim,err_sub_mHa,retained_J,captured,n_unique,top1
r055,random,9426385701,2026,225,46.56101398964552,0.2298298253390097,0.965979281459412,154,0.975289
r055,random,9426385701,7,225,46.56101398964552,0.2298298253390097,0.965979281459412,150,0.975406
r056,random,3870129546,2026,225,70.04869378124567,0.223291956791162,0.9404959267573246,148,0.973543
r056,random,3870129546,7,225,70.04869378124567,0.223291956791162,0.9404959267573246,140,0.97366
r057,random,8304196752,2026,225,49.74748074573654,0.21492386361875584,0.9570155385460307,118,0.976669
r057,random,8304196752,7,225,49.74748074573654,0.21492386361875584,0.9570155385460307,125,0.976747
r058,random,5486730192,2026,225,45.6867853088454,0.2543666926567695,0.9620023579000732,119,0.984646
r058,random,5486730192,7,225,49.22033479513743,0.2543666926567695,0.9620023579000732,124,0.984686
r059,random,1389540267,2026,225,47.35169052403876,0.19782191837690546,0.9659104635100575,104,0.989225
r059,random,1389540267,7,225,44.901874159435806,0.19782191837690546,0.9659104635100575,89,0.989331
r060,random,6930814527,2026,225,49.91096733014899,0.243567960561891,0.9650539799004049,106,0.987997
r060,random,6930814527,7,225,48.2216257276491,0.243567960561891,0.9650539799004049,105,0.988014
r061,random,6203857914,2026,225,68.59296389664848,0.23213691644220125,0.9570303484158507,132,0.974861
r061,random,6203857914,7,225,49.97805647293774,0.23213691644220125,0.9570303484158507,127,0.974973
r062,random,7528496013,2026,225,49.841688608239565,0.198625689729637,0.9601808996164154,128,0.970824
r062,random,7528496013,7,225,49.841688608239565,0.198625689729637,0.9601808996164154,139,0.970875
r063,random,3572416809,2026,225,49.22033479513743,0.25203857176150035,0.962002357900073,110,0.988509
r063,random,3572416809,7,225,49.316276580441354,0.25203857176150035,0.962002357900073,110,0.988543
r064,random,9830651274,2026,225,49.22033479513743,0.20373249091027718,0.9620023579000733,150,0.976805
r064,random,9830651274,7,225,49.22033479513743,0.20373249091027718,0.9620023579000733,152,0.976897
r065,random,3687524901,2026,225,49.22033479513743,0.25851324423639266,0.9620023579000733,139,0.978562
r065,random,3687524901,7,225,49.22033479513743,0.25851324423639266,0.9620023579000733,149,0.978632
r066,random,1275948630,2026,225,50.25671417534738,0.1760459059382519,0.9616535966852903,151,0.976273
r066,random,1275948630,7,225,50.25671417534738,0.1760459059382519,0.9616535966852903,157,0.976366
r067,random,2479803561,2026,225,56.47202351043745,0.2512169750025039,0.9581838695707241,145,0.967224
r067,random,2479803561,7,225,56.47202351043745,0.2512169750025039,0.9581838695707241,146,0.967434
r068,random,0974386215,2026,225,53.456798070243394,0.2404117274392773,0.9622303894996779,157,0.975102
r068,random,0974386215,7,225,53.538773553242436,0.2404117274392773,0.9622303894996779,130,0.97521
r069,random,3870549612,2026,225,49.765962458337754,0.16226891551702816,0.9606853950121291,143,0.982568
r069,random,3870549612,7,225,53.196354104443344,0.16226891551702816,0.9606853950121291,139,0.982581
r070,random,6890731254,2026,225,49.72099952954068,0.23924012310346396,0.939421458443877,105,0.986586
r070,random,6890731254,7,225,52.089836552838165,0.23924012310346396,0.939421458443877,106,0.986609
r071,random,9827413560,2026,225,49.22033479513743,0.20275394914708988,0.962002357900073,141,0.977794
r071,random,9827413560,7,225,49.22033479513743,0.20275394914708988,0.962002357900073,151,0.977814
r072,random,3492586071,2026,225,108.51703165573667,0.13771375603709798,0.8424444284932219,67,0.9901
r072,random,3492586071,7,225,108.51703165573667,0.13771375603709798,0.8424444284932219,74,0.990196
r073,random,5317492608,2026,225,46.56101398964552,0.20940339203243788,0.965979281459412,105,0.990392
r073,random,5317492608,7,225,46.56101398964552,0.20940339203243788,0.965979281459412,99,0.990468
