ordering,permutation,err_mHa,retained_J,captured,retained_J_recomputed,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,s2_ss_L3,s2_ss_L4,s2_ss_L5,s2_ss_L6,s2_ss_L7
r053,1704259863,44.10580014989307,0.2072322161413596,0.9656912735808332,0.09628439281996432,0.3084855928357149,0.2084603460941106,0.40851083957731926,0.30152576507043155,0.08876042437471136,0.5142911057661518,0.6609892195093553,0.3219784390187106,1.0,0.3098326246803829,0.1953517401577798,0.19535174015868034,0.3219784390187106,0.4130349114595937,0.6201378030776669
r054,1503279684,57.11591743524025,0.1740495004576293,0.9563624112870664,0.0657015612238305,0.32044399718518435,0.25020248591157535,0.39068550845879335,0.2983744235944446,0.0377209114877892,0.5590279357011,0.6608851036592593,0.3217702073185186,1.0,0.3521854911046199,0.24979609952546286,0.30196936064237956,0.3217702073185186,0.3617883640705968,0.5038831522020868
r055,9426385701,46.56101398964552,0.2298298253390097,0.965979281459412,0.11742109194808142,0.2333170074863264,0.15925832698081707,0.30737568799183573,0.3679734517629194,0.30102755581018753,0.4349193477156512,0.5976758700788899,0.19535174015777973,1.0,0.1745592166713235,0.0,0.0,0.19535174015777973,0.34064434026819707,0.6877278989484473
r056,3870129546,70.04869378124567,0.223291956791162,0.9404959267573246,0.1165076324641606,0.3514289295528742,0.17881725718090732,0.524040601924841,0.4040036135392821,0.3550054715406675,0.4530017555378967,0.737422601484196,0.4748452029683921,1.0,0.27745616623486796,0.0,0.1528667639496814,0.4748452029683921,0.5656934437097416,0.8154895432363479
r057,8304196752,49.74748074573654,0.2149238636187558,0.9570155385460308,0.0922847551011957,0.2322964577394097,0.18165691453819932,0.2829360009406201,0.27406314438000934,0.05038770328717372,0.497738585472845,0.5815152901170069,0.16303058023401384,1.0,0.16519725682168185,0.0,0.019800846676213235,0.16303058023401384,0.21747493960252234,0.7313990751018619
r058,5486730192,47.45356005199142,0.2543666926567695,0.9620023579000732,0.13951520937239378,0.14500829715871502,0.1780052794355117,0.11201131488191834,0.20265278095794825,0.3514152590973048,0.05389030281859167,0.5716148667797634,0.1432297335595267,1.0,0.1682901859430095,9.007760943096786e-13,0.09105647244178457,0.1432297335595267,0.23500468802789495,0.585494290386439
r059,1389540267,46.12678234173728,0.1978219183769054,0.9659104635100576,0.08223203061076602,0.26875485606445904,0.2367483800697721,0.300761332059146,0.28843841695782396,0.12387507837775126,0.4530017555378967,0.6432041063000369,0.28640821260007365,1.0,0.39275420908211967,0.26639913422374256,0.2663991342246431,0.28640821260007365,0.6949951937282702,0.8084582564256442
r060,6930814527,49.066296528899045,0.243567960561891,0.9650539799004048,0.12355473476994404,0.24804632696127243,0.2553491669701386,0.24074348695240624,0.18255869568456012,0.259091211205917,0.10602618016320327,0.8245264596621781,0.6490529193243562,1.0,0.3177731595175603,0.0,0.10661762048550065,0.6490529193243562,0.8169603413894132,0.8369694197657442
r061,6203857914,59.28551018479311,0.2321369164422012,0.9570303484158508,0.11666361216584815,0.21006922694410216,0.17939496693579854,0.24074348695240577,0.3172314296047072,0.13672427373656937,0.497738585472845,0.537122603021656,0.07424520604331201,1.0,0.18099039413388213,0.019800846675312466,0.07424520604331201,0.07424520604331201,0.4139616251875135,0.5490904090125309
r062,7528496013,49.841688608239565,0.198625689729637,0.9601808996164154,0.08409496428763809,0.29241746483295855,0.21135555078655507,0.37347937887936206,0.38637817915156214,0.3137018861819787,0.45905447212114564,0.6170389871504378,0.23407797430087554,1.0,0.23789197419096503,0.07104739406513637,0.0908482407413496,0.23407797430087554,0.4294297144586553,0.6495103976414555
r063,3572416809,49.26830568778939,0.2520385717615003,0.962002357900073,0.13996582169311916,0.3391163676322236,0.21713849079334055,0.4610942444711066,0.30504273483391026,0.22300370818751206,0.3870817614803085,0.6586840711689514,0.317368142337903,1.0,0.20993138568279607,8.254454828269642e-13,0.07197410779305471,0.317368142337903,0.3373772207153775,0.6593556597331875
r064,9830651274,49.22033479513743,0.2037324909102771,0.9620023579000732,0.09658696954224613,0.13585616230715242,0.20189352372060085,0.06981880089370396,0.07863325479953903,0.10337620678048641,0.05389030281859167,0.6002412393354654,0.34064434026788065,0.8598381384030501,0.3087702553403413,0.0,0.2663991342229161,0.34064434026788065,0.7334619416519262,0.9278176605067523
r065,3687524901,49.22033479513743,0.2585132442363926,0.9620023579000732,0.14499035725632506,0.29155248772217557,0.21255410891198526,0.3705508665323659,0.418008171855242,0.4489345822301755,0.3870817614803085,0.6509846803216401,0.30196936064328017,1.0,0.21988022907828916,9.005474553968703e-13,0.19535174015868034,0.30196936064328017,0.34198751739414107,0.5458925970346713
r066,1275948630,50.25671417534738,0.1760459059382519,0.9616535966852904,0.06801939796065405,0.2540917108814446,0.13786137631731918,0.37032204544557007,0.27691392263367837,0.05298850349411735,0.5008393417732394,0.5,0.0,1.0,0.08013169899326864,0.0,0.0,0.0,0.08068442445733424,0.08068442445733424
r067,2479803561,56.47202351043745,0.2512169750025039,0.958183869570724,0.13304175521511402,0.2179258178927425,0.19510814883307875,0.24074348695240624,0.10982539104748928,0.11362460193177532,0.10602618016320327,0.6692907368584946,0.3385814737169893,1.0,0.2585211330826587,0.0,0.2663991342229161,0.3385814737169893,0.3907547348348069,0.6605599127360172
r068,974386215,53.497785811742915,0.2404117274392773,0.962230389499678,0.13162148975572333,0.30561282779549526,0.13292528154045186,0.4783003740505387,0.5143968942554518,0.1887102714926986,0.840083517018205,0.5468311080110307,0.09366221602206139,1.0,0.11277891791646519,0.0,0.0,0.09366221602206139,0.17434664047939563,0.337377220714235
r069,3870549612,51.48115828139055,0.1622689155170281,0.9606853950121292,0.05651775487615048,0.30728821438506077,0.1810792047840213,0.43349722398610024,0.25348983563421656,0.05397791573053645,0.4530017555378967,0.5371226030214977,0.07424520604299553,1.0,0.14383377830490063,0.0,0.0,0.07424520604299553,0.36065341864255956,0.46499994087804497
r070,6890731254,50.90541804118942,0.2392401231034639,0.939421458443877,0.13147345415727973,0.1715446749123591,0.21009537039048404,0.1329939794342342,0.12257534568128912,0.23909797477932934,0.006052716583248906,0.7339069580788445,0.467813916157689,1.0,0.30048735325658327,0.0,0.11367129439839263,0.467813916157689,0.8893509125821953,0.9091517592595514
r071,9827413560,49.22033479513743,0.2027539491470898,0.962002357900073,0.093577693993582,0.22441732213947424,0.2284546203397647,0.2203800239391838,0.07431026569077695,0.10078294514621115,0.04783758623534276,0.7574954903726536,0.5149909807453072,1.0,0.3479278028202225,0.0,0.44074577470231174,0.5149909807453072,0.5149909807456242,0.8556353210123624
r072,3492586071,108.51703165573667,0.1377137560370979,0.8424444284932219,0.038431219273850785,0.19706246195718144,0.12839505255317446,0.2657298713611884,0.028637316514904976,0.051221916446561044,0.006052716583248906,0.5100045391888579,0.020009078377715858,1.0,0.14028479676017308,3.169570821223346e-13,1.458829887842301e-12,0.020009078377715858,0.41926589817578336,0.5656934437111263
