triple,budget,status,err_mHa,captured,wall_s,dim
"(1, 4, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1092147827148438,25
"(1, 4, 9)",8,OK,458.81235333945904,0.43786136826828376,1.113227128982544,64
"(1, 4, 9)",10,OK,376.308278777234,0.490992254816506,1.1170661449432373,100
"(1, 4, 9)",15,OK,295.92940093880316,0.5734402956236082,1.1314380168914795,225
"(1, 5, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1035821437835693,25
"(1, 5, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1152198314666748,64
"(1, 5, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1297791004180908,100
"(1, 5, 6)",15,OK,365.4504865056092,0.5174272757180144,1.1301960945129395,225
"(1, 5, 7)",5,OK,465.9875781404228,0.4049847886298761,1.1083600521087646,25
"(1, 5, 7)",8,OK,458.81235333945904,0.43786136826828376,1.11875581741333,64
"(1, 5, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1351211071014404,100
"(1, 5, 7)",15,OK,365.4335079906108,0.5175877685217027,1.1348369121551514,225
"(1, 5, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1072380542755127,25
"(1, 5, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1176769733428955,64
"(1, 5, 8)",10,OK,458.8115905347472,0.4380644407357623,1.1213178634643555,100
"(1, 5, 8)",15,OK,296.56640998204773,0.5760241298828006,1.1379427909851074,225
"(1, 5, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1056342124938965,25
"(1, 5, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1159989833831787,64
"(1, 5, 9)",10,OK,372.3771489029106,0.49359580526178665,1.136415958404541,100
"(1, 5, 9)",15,OK,295.92940093880316,0.5734402956236082,1.143373966217041,225
"(1, 6, 7)",5,OK,465.9875781404228,0.40498478862987614,1.110055923461914,25
"(1, 6, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1130530834197998,64
"(1, 6, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1294360160827637,100
"(1, 6, 7)",15,OK,458.2753501346808,0.45883971025915254,1.1343810558319092,225
"(1, 6, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1064550876617432,25
"(1, 6, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1333520412445068,64
"(1, 6, 8)",10,OK,458.8115905347472,0.43806444073576223,1.1251239776611328,100
"(1, 6, 8)",15,OK,303.7640003041826,0.5596740718651256,1.1350090503692627,225
"(1, 6, 9)",5,OK,465.9875781404228,0.40498478862987614,1.134916067123413,25
"(1, 6, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1269171237945557,64
"(1, 6, 9)",10,OK,376.308278777234,0.490992254816506,1.1279950141906738,100
"(1, 6, 9)",15,OK,300.6037081154602,0.5634385197749637,1.1388988494873047,225
