triple,err_mHa,captured,retained_J_oppspin,source,status,jab_weight
"(4, 5, 8)",458.3452761510429,0.459059116929777,0.0310361174192717,C1_new,OK,3.757880793207284
"(4, 6, 8)",365.4517569539335,0.517642676055443,0.0318304049016624,C1_new,OK,4.035225561331047
"(4, 6, 9)",236.38581837080696,0.6297827813983573,0.0662208034939386,C1_new,OK,4.917263581780013
"(4, 7, 8)",365.0589076076844,0.518163284684482,0.0337292630115381,C1_new,OK,4.409806189914861
"(4, 7, 9)",236.38581837080696,0.6297827813983574,0.0681196616038142,C1_new,OK,5.291844210363828
"(4, 8, 9)",294.5982984505724,0.5738656579728079,0.0953254390892798,C1_new,OK,7.954731276678525
"(5, 6, 8)",365.4517569539335,0.5176426760554429,0.0318304049016624,C1_new,OK,4.035225561331047
"(5, 6, 9)",236.38581837080696,0.6297827813983574,0.0662208034939386,C1_new,OK,4.917263581780013
"(5, 7, 8)",365.0589076076844,0.518163284684482,0.0337292630115381,C1_new,OK,4.409806189914861
"(5, 7, 9)",236.38581837080696,0.6297827813983574,0.0681196616038142,C1_new,OK,5.291844210363828
"(5, 8, 9)",231.5027027367096,0.6306276897312906,0.0953254390892799,C1_new,OK,7.954731276678526
"(6, 7, 8)",365.0589076076844,0.5181632846844821,0.0345235504939288,C1_new,OK,4.687150958038624
"(6, 7, 9)",236.38581837080696,0.6297827813983574,0.068913949086205,C1_new,OK,5.56918897848759
"(7, 8, 9)",230.2839613082117,0.6230070889245248,0.0980185846815462,C1_new,OK,8.606656673386102
