ordering,triple,budget,status,err_mHa,captured,wall_s,dim
physical,"(0, 1, 9)",8,OK,330.22245548768313,0.5046032679833067,1.1000161170959473,64
physical,"(0, 3, 4)",8,OK,342.05729985355936,0.48244908500245287,1.1051280498504639,64
physical,"(3, 8, 9)",8,OK,332.2465298611652,0.4839780536067632,1.1048083305358887,64
physical,"(5, 6, 8)",8,OK,380.2747196467777,0.4382770964911073,1.104058027267456,64
physical,"(0, 5, 6)",8,OK,342.05729985355936,0.4824490850024528,1.1039648056030273,64
physical,"(2, 3, 9)",8,OK,289.34652559804164,0.5462530526267657,1.1017370223999023,64
physical,"(0, 4, 8)",8,OK,342.5750238053471,0.47917546925873955,1.1020212173461914,64
physical,"(1, 2, 7)",8,OK,342.8066251193851,0.4826721883013846,1.1046700477600098,64
physical,"(4, 5, 6)",8,OK,464.87842575839977,0.38668644654538026,1.128999948501587,64
physical,"(0, 4, 9)",8,OK,288.98018483879275,0.545774122405571,1.1061601638793945,64
physical,"(0, 2, 3)",8,OK,331.3986214195346,0.5019509881616946,1.1317057609558105,64
physical,"(2, 6, 7)",8,OK,393.9933997025671,0.44282440443805915,1.0958399772644043,64
physical,"(0, 2, 4)",8,OK,331.3986214195346,0.5019509881616946,1.1045761108398438,64
physical,"(4, 6, 9)",8,OK,289.0969660028926,0.5460144781735354,1.133815050125122,64
physical,"(0, 1, 3)",8,OK,332.73245843032396,0.49742403430642135,1.107917070388794,64
physical,"(1, 7, 9)",8,OK,402.6698532547588,0.4211083232226565,1.1034698486328125,64
physical,"(2, 3, 7)",8,OK,394.26359618825035,0.4395416290213147,1.0991058349609375,64
physical,"(0, 1, 5)",8,OK,332.73245843032396,0.49742403430642135,1.1048741340637207,64
physical,"(3, 5, 9)",8,OK,289.34652559804164,0.5462530526267657,1.1061897277832031,64
rand007,"(1, 6, 8)",8,OK,320.119844040426,0.48588155798054505,1.1041209697723389,64
rand007,"(1, 4, 7)",8,OK,385.8741017983274,0.42458984385069265,1.10378098487854,64
rand007,"(2, 4, 6)",8,OK,384.72182893454755,0.4289217355914816,1.109525203704834,64
