chain,permutation,triple,role,tag,err_lucj,full_capture,depth,two_qubit_count,n_unique_alpha,n_unique_beta,dim,status,err_mHa,captured,retained_J_samespin,S0
reverse,11109876543210,"(1, 2, 4)",triple,reverse_1-2-4,662.9271849087672,1.00000000000065,5510,40080,313,314,3025,OK,226.4438118322687,0.8008003433664186,0.42224937674827345,1.4929059831396119
reverse,11109876543210,"(5, 6, 9)",triple,reverse_5-6-9,722.452759960106,1.0000000000004938,5510,40080,244,248,3025,OK,366.6930360082006,0.5493540507992094,0.42224937674827345,0.3227690169167293
reverse,11109876543210,no_ab,no_ab,reverse_noab,733.685745909952,1.0000000000006413,5438,39864,213,216,3025,OK,369.6061584450945,0.5445093739337182,0.42224937674827345,0.0
reverse,11109876543210,default,default,reverse_default,655.4937947512371,1.0000000000007243,5510,40080,342,344,3025,OK,242.62817564704164,0.7864391795940071,0.42224937674827345,1.6317963014421313
random,11650318107249,"(1, 3, 8)",triple,random_1-3-8,560.446983264228,1.0000000000007307,5510,40080,375,352,3025,OK,207.23685676830428,0.8368408237194249,0.2523637282668027,1.6775054690388815
random,11650318107249,"(3, 4, 9)",triple,random_3-4-9,597.8810713545499,1.000000000000668,5510,40080,313,307,3025,OK,256.4021976941149,0.7162124423301621,0.2523637282668027,0.6703821238864874
random,11650318107249,"(2, 6, 10)",triple,random_2-6-10,566.840494167991,1.0000000000007159,5510,40080,360,340,3025,OK,208.44155296208555,0.8400748127012004,0.2523637282668027,1.421209596753437
random,11650318107249,"(4, 6, 9)",triple,random_4-6-9,603.4883968841314,1.0000000000006282,5510,40080,295,309,3025,OK,265.5177971901139,0.7153605905247163,0.2523637282668027,0.39446540330290425
random,11650318107249,"(1, 6, 9)",triple,random_1-6-9,565.4878871373512,1.0000000000007159,5510,40080,349,346,3025,OK,220.24130235922712,0.8148391972792393,0.2523637282668027,1.4212095967534368
random,11650318107249,"(3, 6, 11)",triple,random_3-6-11,555.3966511815815,1.0000000000007556,5510,40080,373,370,3025,OK,215.99560717322674,0.8305898645057628,0.2523637282668027,1.5600999150559562
random,11650318107249,"(4, 10, 11)",triple,random_4-10-11,512.8956940538956,1.0000000000007907,5510,40080,383,393,3025,OK,205.47280428900194,0.8451198268516877,0.2523637282668027,2.4543201606952563
random,11650318107249,"(0, 3, 11)",triple,random_0-3-11,508.3518216479206,1.000000000000849,5510,40080,459,447,3025,OK,204.36105481121558,0.8647512382484583,0.2523637282668027,2.8170516614933208
random,11650318107249,"(5, 6, 11)",triple,random_5-6-11,564.1358969442081,1.000000000000737,5582,40080,358,376,3025,OK,220.5805060102648,0.8216481250410899,0.2523637282668027,1.2841831944723732
random,11650318107249,"(1, 2, 8)",triple,random_1-2-8,557.140740336763,1.0000000000006888,5510,40080,330,355,3025,OK,209.86012964112888,0.8345989633783742,0.2523637282668027,1.6971263173370201
random,11650318107249,"(3, 6, 7)",triple,random_3-6-7,605.5570081048245,1.0000000000006444,5582,40080,317,294,3025,OK,270.25404239020645,0.6755972693902755,0.2523637282668027,0.374844555004766
random,11650318107249,"(0, 2, 8)",triple,random_0-2-8,552.4315485358784,1.000000000000783,5510,40080,388,357,3025,OK,199.90298433913267,0.8514295703162416,0.2523637282668027,1.8556374839376772
random,11650318107249,"(0, 6, 7)",triple,random_0-6-7,563.742330039986,1.0000000000007645,5582,40080,390,367,3025,OK,208.23880935222405,0.8395748844844309,0.2523637282668027,1.3558795808585475
