chain,triple,err_lucj,full_capture
identity,"(2, 4, 10)",663.365207474726,1.0000000000006781
identity,"(2, 4, 11)",652.4575224543696,1.0000000000006857
identity,"(2, 5, 6)",722.4023952853713,1.0000000000004912
identity,"(2, 5, 7)",713.3141565714141,1.000000000000535
identity,"(2, 5, 8)",712.9764343499119,1.000000000000533
identity,"(2, 5, 9)",712.4447859964675,1.0000000000005222
identity,"(2, 5, 10)",671.7884076911105,1.0000000000006535
identity,"(2, 5, 11)",662.8313780811368,1.0000000000006872
identity,"(2, 6, 7)",713.339001777058,1.000000000000517
identity,"(2, 6, 8)",713.0063678941951,1.0000000000005205
identity,"(2, 6, 9)",712.4450875685397,1.0000000000005143
identity,"(2, 6, 10)",671.7639519479235,1.0000000000006255
identity,"(2, 6, 11)",663.006187393421,1.0000000000006644
identity,"(2, 7, 8)",704.644968309367,1.000000000000576
identity,"(2, 7, 9)",703.6311772808403,1.0000000000004776
identity,"(2, 7, 10)",662.669207691124,1.0000000000006686
identity,"(2, 7, 11)",656.852777399763,1.0000000000007216
identity,"(2, 8, 9)",703.476192265498,1.0000000000004945
identity,"(2, 8, 10)",662.5096222533102,1.000000000000667
identity,"(2, 8, 11)",656.7282922383129,1.0000000000007179
identity,"(2, 9, 10)",662.1619365573679,1.0000000000006297
identity,"(2, 9, 11)",654.1105505807536,1.0000000000007117
identity,"(2, 10, 11)",612.9364141434053,1.0000000000007487
identity,"(3, 4, 5)",715.338406362207,1.000000000000475
identity,"(3, 4, 6)",715.2533275107089,1.0000000000004936
identity,"(3, 4, 7)",705.3725419091279,1.000000000000481
identity,"(3, 4, 8)",704.8027186087893,1.0000000000004936
identity,"(3, 4, 9)",704.6381445297811,1.0000000000005334
identity,"(3, 4, 10)",664.755875066021,1.0000000000006166
identity,"(3, 4, 11)",652.0161580506283,1.000000000000692
identity,"(3, 5, 6)",723.3832020510818,1.000000000000492
identity,"(3, 5, 7)",713.840147587689,1.000000000000496
identity,"(3, 5, 8)",713.6138187456709,1.0000000000004985
identity,"(3, 5, 9)",713.0045222602348,1.0000000000005096
identity,"(3, 5, 10)",672.7129365676774,1.000000000000595
identity,"(3, 5, 11)",661.9274341428536,1.0000000000007288
identity,"(3, 6, 7)",713.8348310759284,1.0000000000005151
identity,"(3, 6, 8)",713.6138872774609,1.000000000000494
identity,"(3, 6, 9)",712.9749594073473,1.0000000000005254
identity,"(3, 6, 10)",672.6580024592295,1.000000000000596
identity,"(3, 6, 11)",662.073013112149,1.0000000000007179
identity,"(3, 7, 8)",704.8039261071608,1.0000000000005071
identity,"(3, 7, 9)",703.7108121062374,1.0000000000005513
identity,"(3, 7, 10)",663.1005884555634,1.0000000000006608
identity,"(3, 7, 11)",655.4937947512371,1.0000000000007243
identity,"(3, 8, 9)",703.6722241082316,1.0000000000005385
identity,"(3, 8, 10)",663.0489733479408,1.000000000000603
identity,"(3, 8, 11)",655.493618177843,1.0000000000007043
identity,"(3, 9, 10)",662.6370931990095,1.0000000000006286
identity,"(3, 9, 11)",652.7816371235531,1.000000000000726
identity,"(3, 10, 11)",611.9118750534653,1.0000000000007365
identity,"(4, 5, 6)",723.9604990136286,1.000000000000469
identity,"(4, 5, 7)",714.7639458780759,1.0000000000005171
identity,"(4, 5, 8)",713.8823196191879,1.000000000000498
identity,"(4, 5, 9)",713.3819756631965,1.0000000000005327
identity,"(4, 5, 10)",673.0163849924793,1.0000000000005818
identity,"(4, 5, 11)",663.4604484979718,1.0000000000006684
identity,"(4, 6, 7)",714.7641330047918,1.0000000000005185
identity,"(4, 6, 8)",713.8878942628253,1.0000000000005125
identity,"(4, 6, 9)",713.3576206160797,1.0000000000005353
identity,"(4, 6, 10)",672.966898246159,1.000000000000578
identity,"(4, 6, 11)",663.6110393669696,1.0000000000006881
identity,"(4, 7, 8)",705.4234298038864,1.000000000000491
identity,"(4, 7, 9)",704.4358941489008,1.0000000000005211
identity,"(4, 7, 10)",663.7561255706714,1.0000000000006095
identity,"(4, 7, 11)",657.359641731091,1.0000000000006912
identity,"(4, 8, 9)",703.7407019824968,1.0000000000005405
identity,"(4, 8, 10)",663.0429239444311,1.0000000000006446
identity,"(4, 8, 11)",656.7019008839452,1.0000000000006892
identity,"(4, 9, 10)",662.7422041910904,1.0000000000006353
