E_lucj,err_lucj,overlap,full_capture,triple,ordering,triple_str,err_sqd
-4.389003752806772,577.0673355190486,0.33600189729620034,1.000000000000404,"(0, 6, 7)",physical,"(0, 6, 7)",218.63787417716551
-4.42446896286809,541.6021254577306,0.32018659074915506,1.000000000000406,"(2, 4, 7)",physical,"(2, 4, 7)",172.14939218691416
-4.414898711950397,551.1723763754235,0.3080867190185402,1.0000000000003926,"(3, 4, 6)",physical,"(3, 4, 6)",386.4008031346869
-4.377420502072121,588.6505862537001,0.3862977690970714,1.0000000000004052,"(0, 1, 9)",physical,"(0, 1, 9)",219.9049260850092
-4.3906454181149135,575.4256702109072,0.3321511997228576,1.0000000000003968,"(0, 3, 4)",physical,"(0, 3, 4)",220.94528600747145
-4.423610947066672,542.4601412591485,0.37194636900322875,1.0000000000003966,"(3, 8, 9)",physical,"(3, 8, 9)",225.71215968089663
-4.379366000250104,586.7050880757167,0.29080933863887926,1.0000000000003881,"(5, 6, 8)",physical,"(5, 6, 8)",251.1205221539532
-4.38474943276522,581.3216555606004,0.32900091500290957,1.0000000000003983,"(0, 5, 6)",physical,"(0, 5, 6)",218.63787417716551
-4.429888276844908,536.1828114809128,0.38696700415067553,1.000000000000412,"(2, 3, 9)",physical,"(2, 3, 9)",268.6432425764611
-4.3817596176421665,584.3114706836543,0.3252840928662996,1.0000000000003963,"(0, 4, 8)",physical,"(0, 4, 8)",214.50849171642173
-4.396795505782738,569.2755825430825,0.3223390495407183,1.000000000000405,"(1, 2, 7)",physical,"(1, 2, 7)",189.39782400814752
-4.4082160299663204,557.8550583595004,0.30319555390074754,1.0000000000004072,"(4, 5, 6)",physical,"(4, 5, 6)",373.109132816376
-4.349318164212323,616.7529241134977,0.3537863556398974,1.00000000000041,"(0, 4, 9)",physical,"(0, 4, 9)",266.64047918834746
-4.405572104604521,560.4989837213,0.3465590698057674,1.0000000000004028,"(0, 2, 3)",physical,"(0, 2, 3)",218.63787417716551
-4.4254839880830685,540.5871002427523,0.32245939146572494,1.0000000000004072,"(2, 6, 7)",physical,"(2, 6, 7)",218.56940597565887
-4.3955145565748985,570.5565317509222,0.3409851119318322,1.000000000000402,"(0, 2, 4)",physical,"(0, 2, 4)",218.63787417716551
-4.409041269876809,557.0298184490117,0.36573390074108864,1.0000000000003912,"(4, 6, 9)",physical,"(4, 6, 9)",219.74517877720336
-4.392237541106003,573.8335472198175,0.3486431151662542,1.0000000000004063,"(0, 1, 3)",physical,"(0, 1, 3)",181.4337155473007
-4.415755762020953,550.3153263048679,0.3966064620026974,1.0000000000004001,"(1, 7, 9)",physical,"(1, 7, 9)",229.400497251123
-4.43234610044466,533.7249878811612,0.3260185598386797,1.0000000000003928,"(2, 3, 7)",physical,"(2, 3, 7)",175.17356732665235
-4.386416680388254,579.6544079375669,0.34499783207904805,1.0000000000004083,"(0, 1, 5)",physical,"(0, 1, 5)",181.4337155473007
-4.418044690168529,548.0263981572922,0.3728355100215424,1.0000000000004012,"(3, 5, 9)",physical,"(3, 5, 9)",256.18934824031305
