ordering,captured,cap_alpha,cap_beta,cap_product,missed_mHa_proxy,err_sub_mHa,err_var_mHa,retained_J,top1,n_unique
q044,0.8507997458841954,0.8835884087422838,0.8835884087422832,0.7807284760637206,0.14920025411580462,103.47555451750168,235.2685697320851,0.1367352146375315,0.989729,83
q045,0.9767411212285888,0.9851341591035051,0.9851341591035049,0.9704893114325699,0.023258878771411196,30.882001456603803,227.045638033033,0.3119083009473079,0.983629,126
q046,0.9767411212285889,0.9851341591035051,0.9851341591035049,0.9704893114325699,0.023258878771411085,30.88200145670328,170.8763750606863,0.2594707564045541,0.965881,183
q047,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,187.90183113544856,0.2404117279153547,0.977065,169
q048,0.970724501860406,0.9809314350070808,0.9809314350070806,0.9622264801850505,0.02927549813959396,38.88629157530943,175.23020258198585,0.2541708920991099,0.964114,185
q049,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,228.37129131821143,0.2060967299192514,0.984382,130
q050,0.9577938686196109,0.9674889597505365,0.9665497110674188,0.9351261745077987,0.04220613138038909,54.952343234205614,265.17258796019405,0.174874301542944,0.984816,102
q051,0.9577938686196106,0.9665497110674195,0.967488959750536,0.9351261745077988,0.04220613138038942,54.952343234205614,182.73368695665224,0.2359156349874469,0.980792,131
q052,0.9583178484428547,0.9699969985672394,0.9652890767397407,0.9363275071872902,0.041682151557145275,55.349669343797814,230.5794155916061,0.3101049578461815,0.986493,121
q053,0.9732769579142606,0.9831853239397743,0.9831853239397741,0.9666533812105588,0.02672304208573939,39.075148936703386,237.1785938159547,0.2551704638226999,0.979214,138
q054,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,226.04682861735623,0.2585132445349915,0.989826,105
q055,0.9582602247008483,0.971962676215545,0.9719626762155442,0.9447114439560836,0.04173977529915174,48.919134030199984,217.60966654582603,0.2062536741493185,0.975367,138
q056,0.9467809302074637,0.9623723729453771,0.9623723729453766,0.9261605842085155,0.05321906979253632,45.778551621808106,237.2204886455904,0.1901302710498479,0.97979,138
q057,0.9623891649403751,0.9705185281739118,0.9705185281739113,0.9419062135288555,0.037610835059624925,48.91338038549975,201.9051977920867,0.2736187836321375,0.974802,168
q058,0.966904616116758,0.9737116657897223,0.9737116657897218,0.9481144080949954,0.03309538388324196,43.349025710199385,209.40277580305633,0.2103819339604118,0.986914,123
q059,0.9767411212285889,0.9851341591035051,0.9851341591035049,0.9704893114325699,0.023258878771411085,30.88200145670328,233.35984861711268,0.1933436512793952,0.977803,143
q060,0.9567601391462937,0.9652890767397412,0.9652890767397407,0.9317830016730615,0.04323986085370635,56.167596635106065,206.75701085325215,0.2812467683855894,0.973475,166
q061,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,218.8620422000156,0.2090323553089803,0.987618,119
q062,0.9721733197711803,0.9826801262087004,0.9826801262087002,0.965660230445547,0.027826680228819733,39.2265145957964,187.45637960685713,0.2905033258211278,0.975755,152
q063,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.6851747459981,163.95873248517034,0.2117283088738025,0.963037,211
q064,0.962161543118774,0.971220438796436,0.9712204387964356,0.9432691407359414,0.037838456881226,52.77202678379922,174.814660285449,0.1911271051251588,0.97564,175
q065,0.9604669854554063,0.9674889597505365,0.9674889597505358,0.9360348872391746,0.03953301454459368,49.27020591030384,229.78020065974647,0.2502174027070564,0.986094,114
q066,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,185.55089894204,0.2918286708075048,0.981724,148
q067,0.9537764547183726,0.9759530314199748,0.9655237927112067,0.9423058724046135,0.04622354528162742,61.03531577340959,210.12651380307543,0.2264660148541339,0.971871,157
q068,0.9688839627695005,0.9789285939214519,0.9789285939214513,0.9583011919970302,0.031116037230499494,36.83672862030107,235.7458638878711,0.1911514451344408,0.989102,84
q069,0.9554268623320028,0.9655237927112073,0.966045322317879,0.9327397435352792,0.0445731376679972,61.06112543510278,234.6308845804543,0.1986256893958665,0.979565,135
q070,0.9389487152392826,0.9599183400505724,0.9550029989961978,0.9167248935397486,0.06105128476071742,59.31457426160591,237.79688712158983,0.1876273801828002,0.98825,91
q071,0.9659941120468314,0.9727020793091087,0.972702079309108,0.946149335092263,0.03400588795316861,43.6822473369034,225.892065867626,0.2576706170414684,0.980845,155
q072,0.9592835725053875,0.965794274470815,0.9705021962983129,0.9373054645462616,0.04071642749461246,55.260421960298345,206.49313118963164,0.2780970503710723,0.972514,180
