triple,err_mHa,captured,retained_J_oppspin,source,status
"(2, 4, 6)",458.6996615694874,0.470193930372267,0.004624627416196836,C1_new,OK
"(2, 4, 7)",458.69520919153393,0.47009628920522994,0.006523485526072513,C1_new,OK
"(2, 4, 8)",446.27385466703015,0.4726305812957362,0.03372926301153811,C1_new,OK
"(2, 4, 9)",301.5627342514975,0.5700632483773542,0.06811966160381429,C1_new,OK
"(2, 5, 7)",458.62551271719366,0.4714804052538836,0.006523485526072514,C1_new,OK
"(2, 5, 8)",446.27385466703015,0.4726305812957362,0.03372926301153811,C1_new,OK
"(2, 5, 9)",238.28833543724937,0.6275684925998496,0.06811966160381429,C1_new,OK
"(2, 6, 7)",458.549396056509,0.4730280434619365,0.007317773008463233,C1_new,OK
"(2, 6, 8)",446.27385466703015,0.4726305812957362,0.03452355049392883,C1_new,OK
"(2, 6, 9)",238.28833543724937,0.6275684925998497,0.068913949086205,C1_new,OK
"(2, 7, 8)",365.3359286769646,0.5176993128688027,0.03642240860380452,C1_new,OK
"(2, 7, 9)",236.38581837080696,0.6297827813983574,0.07081280719608068,C1_new,OK
"(2, 8, 9)",293.95766463686533,0.5643467347777683,0.09801858468154628,C1_new,OK
"(3, 4, 8)",458.3386915538306,0.4590415324649288,0.03183040490166243,C1_new,OK
"(3, 4, 9)",236.38581837080696,0.6297827813983574,0.06622080349393862,C1_new,OK
"(3, 5, 8)",458.35173990481337,0.4590313394325113,0.03183040490166244,C1_new,OK
"(3, 5, 9)",236.38581837080696,0.6297827813983574,0.06622080349393862,C1_new,OK
"(3, 6, 7)",458.6996615694874,0.470193930372267,0.005418914898587554,C1_new,OK
"(3, 6, 8)",458.3452761510429,0.459059116929777,0.032624692384053154,C1_new,OK
"(3, 6, 9)",236.38581837080696,0.6297827813983575,0.06701509097632934,C1_new,OK
"(3, 7, 8)",458.2881897578508,0.459357921052832,0.03452355049392883,C1_new,OK
"(3, 8, 9)",294.8068205631822,0.5735870187954646,0.0961197265716706,C1_new,OK
"(4, 5, 8)",458.3452761510429,0.459059116929777,0.031036117419271713,C1_new,OK
"(4, 6, 8)",365.4517569539335,0.517642676055443,0.03183040490166243,C1_new,OK
"(4, 6, 9)",236.38581837080696,0.6297827813983573,0.06622080349393862,C1_new,OK
"(4, 7, 8)",365.05890760768443,0.518163284684482,0.033729263011538106,C1_new,OK
"(4, 7, 9)",236.38581837080696,0.6297827813983574,0.06811966160381429,C1_new,OK
"(4, 8, 9)",294.5982984505724,0.5738656579728079,0.09532543908927989,C1_new,OK
"(5, 6, 8)",365.4517569539335,0.5176426760554429,0.03183040490166244,C1_new,OK
"(5, 6, 9)",236.38581837080696,0.6297827813983574,0.06622080349393862,C1_new,OK
"(5, 7, 8)",365.05890760768443,0.518163284684482,0.03372926301153811,C1_new,OK
"(5, 7, 9)",236.38581837080696,0.6297827813983574,0.06811966160381429,C1_new,OK
"(5, 8, 9)",231.50270273670958,0.6306276897312906,0.0953254390892799,C1_new,OK
"(6, 7, 8)",365.05890760768443,0.5181632846844821,0.03452355049392884,C1_new,OK
"(6, 7, 9)",236.38581837080696,0.6297827813983574,0.06891394908620502,C1_new,OK
"(7, 8, 9)",230.2839613082117,0.6230070889245248,0.09801858468154628,C1_new,OK
