ordering,err_mHa,captured,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,retained_J,retained_J_samespin,retained_J_oppspin
rand027,372.575979515267,0.5278018245778183,0.25241721361904546,0.20160834771959268,0.3032260795184982,0.2407092043230795,0.2083292569075776,0.2730891517385814,0.5931899399835743,0.1863798799671486,1.0,0.21439943899334826,0.22632129951399796,0.38642179553405737,0.06622080349393857
rand028,235.46461920299856,0.6153429175365225,0.24268322765306066,0.1693549697430716,0.3160114855630497,0.2945234211601828,0.14593579459477118,0.4431110477255944,0.4790995379219225,0.03439049871094367,0.9238085771329013,0.1522461075096683,0.2121100316951982,0.32889462430111654,0.09532543908927983
rand029,454.89330798801575,0.3925872694523119,0.2514694115835145,0.19942417286244674,0.30351465030458225,0.11685834091307401,0.19666573181524286,0.03705095001090515,0.6542924748847421,0.3085849497694842,1.0,0.2488844609651359,0.19407211842082434,0.38621275501771823,0.0019314818239304394
rand030,168.66670723260137,0.7054232276530302,0.24065958565587392,0.19279654890108547,0.2885226224106624,0.2089001014310223,0.14982368655324657,0.26797651630879804,0.622205529423633,0.24441105884726613,1.0,0.20955382840289052,0.18688657333999512,0.3373507380761857,0.03642240860380452
rand031,376.93890515795965,0.47573643220729994,0.23304477423864778,0.1606568471217649,0.3054327013555307,0.20821040678349007,0.12506645610300876,0.29135435746397137,0.5829518127170353,0.16590362543407058,1.0,0.15881658646128127,0.1768830439879922,0.2856464263721702,0.06811966160381425
rand032,264.7799701135818,0.6104487262106457,0.259316986135723,0.20253379121684476,0.31610018105460125,0.4087828064905711,0.14328549793424125,0.6742801150469009,0.6713855459048983,0.34277109180979665,1.0,0.2383947259627417,0.2195242482211286,0.2794337356829692,0.15961476075928802
rand033,221.50774203635848,0.653600930919689,0.24363255129729194,0.19865378468994033,0.28861131790464356,0.263777907516074,0.2471043784491977,0.28045143658295024,0.6407074150962548,0.28141483019250957,1.0,0.23089599907831776,0.201773238786264,0.33653138659619863,0.06701509097632934
rand034,181.00305198475297,0.6950229762040854,0.24666653429533258,0.20206106677235378,0.29127200181831137,0.232772257366282,0.1616908108298243,0.3038537039027397,0.6412291549825537,0.2824583099651074,1.0,0.19443831972168643,0.20594218487538746,0.34297042066456995,0.06891394908620498
rand035,268.7930800814886,0.5932602939419542,0.2322076726131534,0.16068490603844546,0.3037304391878613,0.3383276783162709,0.15412852303735813,0.5225268335951837,0.5843691725710517,0.1687383451421033,1.0,0.1798234181665447,0.23578240510382792,0.3391558269338334,0.13240898327382244
rand036,244.43922673989204,0.6091001644173736,0.22572217210555673,0.16283302630924837,0.28861131790186506,0.21849673256105917,0.18703093292658374,0.2499625321955346,0.6222280176122621,0.2444560352245243,1.0,0.20640614679288635,0.2173634253113217,0.4002033001287145,0.03452355049392883
rand037,175.59684296815092,0.7082379965411729,0.24800340069152288,0.19281911976337138,0.3031876816196744,0.2114623545319534,0.1367040043844291,0.2862207046794777,0.5926854038883199,0.2615622306434852,0.9238085771331547,0.19147318076330236,0.18103404424708458,0.2939484268903549,0.06811966160381429
rand038,219.42750119900188,0.6565927455242145,0.26172638766232204,0.23301210186060356,0.29044067346404046,0.2234187073853564,0.14325163805600286,0.30358577671471,0.7239383941394619,0.4478767882789238,1.0,0.36387370128623153,0.17094009048082062,0.2729662318754363,0.06891394908620496
